,Timestamp,Accel,Gyr,Label,Sep
113,13:25:40.224832,[ -736 -1266   464 -8293   350 -1721  -434 -1123  1896],[-5800   -26  -192  2181  -265   472 -5325   817 -1388],fists,False
114,13:25:40.232732,[ -856  -702  -483 -8325  -659 -2051  -763  -929   938],[-6754  -164  -209  1867  -167   594 -5325   817 -1388],fists,False
115,13:25:40.240119,[-1910  -921  -481 -8325  -659 -2051  -655  -763  1139],[-7460   151   313  1725  -129   853 -5325   817 -1388],fists,False
116,13:25:40.247912,[ -998  -986   154 -8325  -659 -2051   -96  -999  1672],[-6748   203   202  1828  -193   362 -5325   817 -1388],fists,False
117,13:25:40.255908,[ -983 -1629  1032 -8325  -659 -2051  -281 -1262  1941],[-5720  1677    47  1800   145   200 -4637   269 -1834],fists,False
118,13:25:40.264685,[ -622 -2922  1807 -8325  -659 -2051  -484 -1425  2148],[-4629  1905  -134  1401   139   581 -4637   269 -1834],fists,False
119,13:25:40.273661,[-1085 -2534  1985 -5844  -551 -1364  -759 -1664  2089],[-3832  1316  -301  1088   355   -62 -4637   269 -1834],fists,False
120,13:25:40.282639,[-1139 -2495  1441 -5844  -551 -1364  -770 -1850  1925],[-3381   446  -351  1515   412  -683 -4637   269 -1834],fists,False
121,13:25:40.291385,[-1163 -2150   996 -5844  -551 -1364  -704 -1887  1980],[-3044    88  -272  1552   452  -214 -3079    55 -2091],fists,False
122,13:25:40.299364,[-1020 -2300   269 -5844  -551 -1364    -2 -1905  1966],[-4459  1160   180  1347   530  -531 -3079    55 -2091],fists,False
123,13:25:40.308348,[ -624 -2205  -221 -5844  -551 -1364  -588 -1510  1125],[-4916  1170  -216  1810   493  -629 -3079    55 -2091],fists,False
124,13:25:40.318065,[ -785 -1897  -454 -4473   355  -775   108 -1920  1066],[-6030  2186   193  2237   539   -91 -3079    55 -2091],fists,False
125,13:25:40.327404,[ -601 -2085  -222 -4473   355  -775  -418 -2416  1383],[-6332  3390    89  1619   346     1 -3079    55 -2091],fists,False
126,13:25:40.338287,[-1328 -2348   299 -4473   355  -775 -1552 -2243  1113],[-5238  3085    72  1520    19   -12 -1602    97 -1768],fists,False
